2018/10/02/14:03:24.172768;;;417;-1999;15809;2;26;32;-610;-150;1182;35;177;31;0
2018/10/02/14:03:24.184745;;;385;-1935;15569;-6;0;60;-597;-163;1168;103;177;31;0
2018/10/02/14:03:24.196662;;;401;-1807;15761;-32;-128;50;-597;-163;1168;171;177;31;0
2018/10/02/14:03:24.208745;;;353;-1919;15825;-30;100;120;-597;-163;1168;239;177;31;0
2018/10/02/14:03:24.225681;;;465;-1599;15601;74;-66;56;-552;-183;1195;51;178;31;0
2018/10/02/14:03:24.237746;;;545;-1727;15841;-74;28;-78;-552;-183;1195;119;178;31;0
2018/10/02/14:03:24.249743;;;417;-1551;15809;-50;-30;140;-610;-143;1175;204;178;31;0
2018/10/02/14:03:24.262719;;;401;-1711;15857;12;-8;154;-610;-143;1175;16;179;31;0
2018/10/02/14:03:24.278763;;;449;-1679;16049;-116;-88;-8;-610;-143;1175;84;179;31;0
2018/10/02/14:03:24.290707;;;529;-1791;15857;36;4;-50;-597;-137;1162;152;179;31;0
2018/10/02/14:03:24.303750;;;561;-1887;15985;68;76;-100;-597;-137;1162;220;179;31;0
2018/10/02/14:03:24.315722;;;401;-1935;15953;-22;-42;0;-578;-169;1182;32;180;31;0
2018/10/02/14:03:24.331754;;;481;-1775;16033;38;22;14;-578;-169;1182;100;180;31;0
2018/10/02/14:03:24.344748;;;385;-1855;16049;82;12;-14;-578;-169;1182;168;180;31;0
2018/10/02/14:03:24.356752;;;353;-1855;15953;18;46;-92;-584;-156;1175;236;180;31;0
2018/10/02/14:03:24.368747;;;321;-1759;15921;-26;34;102;-584;-156;1175;48;181;31;0
2018/10/02/14:03:24.385748;;;497;-1935;15905;-16;-8;-2;-623;-150;1148;116;181;31;0
2018/10/02/14:03:24.397752;;;337;-1935;15889;10;-36;-152;-623;-150;1148;184;181;31;0
2018/10/02/14:03:24.409752;;;401;-1903;15873;-44;8;-72;-623;-150;1148;252;181;31;0
2018/10/02/14:03:24.421747;;;481;-1935;15873;-72;8;34;-571;-169;1168;64;182;31;0
2018/10/02/14:03:24.438753;;;577;-2079;15905;-78;-48;34;-571;-169;1168;132;182;31;0
2018/10/02/14:03:24.450675;;;561;-2111;16033;26;-24;-8;-597;-163;1189;200;182;31;0
2018/10/02/14:03:24.462731;;;593;-2223;16113;14;-12;42;-597;-163;1189;28;183;31;0
2018/10/02/14:03:24.475762;;;529;-1919;15905;-62;58;-8;-597;-163;1189;96;183;31;0
2018/10/02/14:03:24.491732;;;609;-1855;16017;-34;26;62;-610;-163;1175;164;183;31;0
2018/10/02/14:03:24.503731;;;385;-1519;16001;-2;-52;74;-610;-163;1175;232;183;31;0
