time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.child_frame_id,.transform.translation.x,.transform.translation.y,.transform.translation.z,.transform.rotation.x,.transform.rotation.y,.transform.rotation.z,.transform.rotation.w
2018/10/02/14:07:46.858665,67658,1538482066,842976468,/world,vicon/IMUframe/IMUframe,-0.266593003765,-0.0210423115751,1.48889849752,-0.0149296895316,-0.00106567158663,0.0417209705457,0.9990171817
2018/10/02/14:07:46.868487,67659,1538482066,852899367,/world,vicon/IMUframe/IMUframe,-0.266618852646,-0.0210582008326,1.48901751735,-0.0151578393002,-0.000943190049466,0.0416248717117,0.999017877896
2018/10/02/14:07:46.878807,67660,1538482066,862828483,/world,vicon/IMUframe/IMUframe,-0.266642225095,-0.0210911899446,1.48911806916,-0.015377447813,-0.000859978663469,0.0414699897349,0.99902103806
2018/10/02/14:07:46.888903,67661,1538482066,872919976,/world,vicon/IMUframe/IMUframe,-0.26665703409,-0.0211105649419,1.48922130815,-0.015493046545,-0.000799864995876,0.0413361164426,0.999024850142
2018/10/02/14:07:46.898918,67662,1538482066,882908661,/world,vicon/IMUframe/IMUframe,-0.266680010064,-0.0211504323651,1.48932622459,-0.0155589222306,-0.000764787626619,0.0412049900601,0.999029270759
2018/10/02/14:07:46.909140,67663,1538482066,893136366,/world,vicon/IMUframe/IMUframe,-0.266685941558,-0.0211995947177,1.48939842804,-0.0155588474114,-0.000777912001911,0.0410609532654,0.999035192191
2018/10/02/14:07:46.918533,67664,1538482066,902852588,/world,vicon/IMUframe/IMUframe,-0.266698084054,-0.021220452436,1.48947829154,-0.0155085845949,-0.000797596873707,0.0409637976507,0.999039946611
2018/10/02/14:07:46.928464,67665,1538482066,912838046,/world,vicon/IMUframe/IMUframe,-0.266705088022,-0.0212511092686,1.48955690437,-0.0154917476657,-0.000846407325203,0.0409021959217,0.999042691639
2018/10/02/14:07:46.938993,67666,1538482066,923030127,/world,vicon/IMUframe/IMUframe,-0.266712396005,-0.0212935202226,1.4896320542,-0.0154330630544,-0.000860778860888,0.0409303622985,0.999042434067
2018/10/02/14:07:46.949274,67667,1538482066,932970015,/world,vicon/IMUframe/IMUframe,-0.266735698137,-0.0213166648107,1.48970924122,-0.0154606697026,-0.000882578364551,0.0408920173514,0.999043558442
2018/10/02/14:07:46.958701,67668,1538482066,942881938,/world,vicon/IMUframe/IMUframe,-0.266717519849,-0.0212369620723,1.48981466988,-0.0154133063252,-0.000898965330143,0.0406313108143,0.99905491262
2018/10/02/14:07:46.968616,67669,1538482066,952828163,/world,vicon/IMUframe/IMUframe,-0.26676324375,-0.02124595682,1.48989673829,-0.015538042467,-0.000943865660502,0.0406697878449,0.999051373409
2018/10/02/14:07:46.979075,67670,1538482066,962986256,/world,vicon/IMUframe/IMUframe,-0.266803560387,-0.0212560079636,1.48998271315,-0.0157059320498,-0.000985225584261,0.0407859319302,0.999043973399
2018/10/02/14:07:46.989004,67671,1538482066,972909537,/world,vicon/IMUframe/IMUframe,-0.266855683013,-0.0212430460628,1.49004979061,-0.0158991412295,-0.0010657746557,0.0408147000089,0.999039659721
2018/10/02/14:07:46.999030,67672,1538482066,982893530,/world,vicon/IMUframe/IMUframe,-0.266964766787,-0.021340892805,1.49008732661,-0.0161891516763,-0.00115772537762,0.0412631911479,0.999016476389
2018/10/02/14:07:47.008695,67673,1538482066,992871906,/world,vicon/IMUframe/IMUframe,-0.267032543793,-0.0213257080728,1.49014186324,-0.016331682633,-0.00117835511396,0.0413438757514,0.999010796518
2018/10/02/14:07:47.019240,67674,1538482067,2990402,/world,vicon/IMUframe/IMUframe,-0.267091208729,-0.0213123929553,1.49018936228,-0.0164645264498,-0.00119826814522,0.0412833750356,0.999011094267
2018/10/02/14:07:47.028851,67675,1538482067,12963099,/world,vicon/IMUframe/IMUframe,-0.267165466085,-0.0213080441653,1.4902411213,-0.0165341599045,-0.00119915423399,0.0412989617252,0.999009298929
2018/10/02/14:07:47.039112,67676,1538482067,23006545,/world,vicon/IMUframe/IMUframe,-0.267226826377,-0.0212928001472,1.49028213966,-0.0165825380033,-0.00120025583513,0.041231333851,0.99901128919
2018/10/02/14:07:47.049012,67677,1538482067,32843904,/world,vicon/IMUframe/IMUframe,-0.267290123568,-0.0212836245513,1.49029930877,-0.0166041309873,-0.00117053378708,0.0411713142848,0.999013441133
2018/10/02/14:07:47.058885,67678,1538482067,42843746,/world,vicon/IMUframe/IMUframe,-0.267352039312,-0.0212632462873,1.49031394397,-0.0166172792572,-0.0011548241144,0.0410780921627,0.99901707831
2018/10/02/14:07:47.069448,67679,1538482067,53209651,/world,vicon/IMUframe/IMUframe,-0.267424833087,-0.0212387123093,1.49031603813,-0.0165792473323,-0.00112510201709,0.0410345172919,0.999019534891
2018/10/02/14:07:47.079155,67680,1538482067,62930581,/world,vicon/IMUframe/IMUframe,-0.267502627915,-0.0212188022854,1.49030570903,-0.016568809361,-0.00111141379721,0.0409761475643,0.999022119198
2018/10/02/14:07:47.089027,67681,1538482067,72895758,/world,vicon/IMUframe/IMUframe,-0.267576402819,-0.0212375066163,1.4902979166,-0.0165591334682,-0.00113915377506,0.0409828852683,0.999021972002
2018/10/02/14:07:47.098876,67682,1538482067,82855853,/world,vicon/IMUframe/IMUframe,-0.267627586179,-0.0211120624538,1.49032038363,-0.0164640272817,-0.00118092141575,0.0405584609945,0.999040816219
