2018/10/02/14:20:13.096824;[];0;401;-2335;15889;30;74;-86;-682;-129;1263;82;224;111;0
2018/10/02/14:20:13.108813;[];0;369;-2351;16113;48;26;82;-682;-129;1263;150;224;111;0
2018/10/02/14:20:13.120795;[];0;289;-2479;16097;-34;42;132;-682;-129;1263;201;224;111;0
2018/10/02/14:20:13.133784;[];0;145;-2495;16113;-58;0;26;-644;-99;1243;12;225;111;0
2018/10/02/14:20:13.149793;[];0;65;-2591;15985;-30;8;-8;-644;-99;1243;97;225;111;0
2018/10/02/14:20:13.161790;[];0;113;-2415;16001;76;50;28;-656;-93;1269;148;225;111;0
2018/10/02/14:20:13.178796;[];0;289;-2607;16513;90;-16;94;-656;-93;1269;28;226;111;0
2018/10/02/14:20:13.194815;[];0;1;-2623;15937;132;18;68;-689;-123;1217;79;226;111;0
2018/10/02/14:20:13.206795;[];0;-95;-2895;16529;148;50;154;-689;-123;1217;130;226;111;0
2018/10/02/14:20:13.219791;[];0;-95;-2943;16145;100;96;-16;-689;-123;1217;181;226;111;0
2018/10/02/14:20:13.231793;[];0;17;-2863;16129;170;38;-26;-669;-81;1190;10;227;111;0
2018/10/02/14:20:13.247801;[];0;-31;-3055;16065;354;166;-54;-669;-81;1190;78;227;111;0
2018/10/02/14:20:13.260847;[];0;-79;-3055;15889;354;120;206;-734;-99;1236;146;227;111;0
2018/10/02/14:20:13.305816;[];0;-495;-2543;15969;752;-48;100;-708;-57;1263;162;228;111;0
2018/10/02/14:20:13.321803;[];0;-239;-2271;15713;934;24;80;-708;-45;1236;247;228;111;0
2018/10/02/14:20:13.333792;[];0;-239;-2351;15729;1018;-28;-100;-708;-45;1236;42;229;111;0
2018/10/02/14:20:13.346813;[];0;-223;-1647;15505;1156;-20;-32;-708;-45;1236;93;229;111;0
2018/10/02/14:20:13.358802;[];0;-367;-1359;15761;1298;10;-120;-695;39;1203;161;229;111;0
2018/10/02/14:20:13.374798;[];0;-191;-1055;15681;1460;20;-148;-695;39;1203;212;229;111;0
2018/10/02/14:20:13.387799;[];0;-351;-847;16049;1544;-46;-204;-695;39;1203;41;230;111;0
2018/10/02/14:20:13.399802;[];0;-271;-399;16353;1738;92;-288;-663;63;1230;109;230;111;0
2018/10/02/14:20:13.411801;[];0;-223;1;16097;1962;208;-408;-663;63;1230;177;230;111;0
2018/10/02/14:20:13.428796;[];0;-351;241;15681;2094;178;-372;-682;141;1243;245;230;111;0
